Order_ID,Order_Date,Customer_ID,Customer_Name,Product,Category,Region,Quantity,Sales,Discount,Profit
ORD0054,2025-01-27,C130,Pooja Mehta,Webcam,Technology,West,5,14000.0,0.2,3081.45
ORD0055,2025-06-20,C213,Aditya Malhotra,Notebook,Office Supplies,East,1,500,0,156.51
ORD0056,2025-01-05,C042,Priya Singh,Backpack,Accessories,South,7,13860.0,0.1,3983.21
ORD0057,2025-10-10,C140,Meena Mehta,Smartphone,Technology,South,6,129600.0,0.1,24560.85
ORD0058,2025-01-21,C011,Karan Sharma,Pen Set,Office Supplies,South,6,1440.0,0.2,488.3
ORD0059,2025-10-14,C175,Manish Yadav,Printer,Office Supplies,West,2,22800.0,0.05,4994.81
ORD0060,2025-03-25,C250,Pooja Mishra,Calculator,Office Supplies,South,3,2352.0,0.02,788.39
ORD0061,2025-06-20,C226,Sneha Kapoor,Table Lamp,Furniture,West,1,1764.0,0.02,510.09
ORD0062,2025-12-26,C206,Sneha Malhotra,Printer,Office Supplies,North,5,58800.0,0.02,11403.69
ORD0063,2025-08-24,C220,Meena Malhotra,Webcam,Technology,South,4,13720.0,0.02,3423.4
ORD0064,2025-06-18,C058,Ayesha Singh,Laptop,Technology,North,4,202400.0,0.08,31124.75
ORD0065,2025-09-18,C248,Anjali Mishra,Notebook,Office Supplies,Central,6,2550.0,0.15,716.8
ORD0066,2025-04-02,C085,Rohit Kumar,Laptop,Technology,East,2,104500.0,0.05,17107.1
ORD0067,2025-06-10,C010,Pooja Sharma,Monitor,Technology,Central,7,119700.0,0.05,22719.41
ORD0068,2025-01-23,C030,Pooja Verma,Bookshelf,Furniture,North,4,26600.0,0.05,6213.8
ORD0069,2025-08-09,C134,Riya Mehta,External Hard Drive,Technology,East,4,24700.0,0.05,4517.22
ORD0070,2025-06-03,C160,Meena Shah,Desk,Furniture,West,2,13600.0,0.15,2929.1
ORD0071,2025-03-07,C084,Neha Kumar,Bookshelf,Furniture,West,5,31500.0,0.1,6605.56
ORD0072,2025-10-08,C174,Riya Yadav,Keyboard,Technology,East,5,8280.0,0.08,2860.19
ORD0073,2025-10-24,C074,Riya Patel,Mouse,Technology,East,7,5040.0,0.2,1610.84
ORD0074,2025-04-20,C120,Meena Gupta,Backpack,Accessories,South,8,14960.0,0.15,4560.01
ORD0075,2025-12-06,C169,Vikash Yadav,Tablet,Technology,East,5,126000.0,0.1,20166.09
ORD0076,2025-04-12,C024,Neha Verma,Printer,Office Supplies,North,5,58800.0,0.02,11482.21
ORD0077,2025-08-01,C063,Amit Patel,Webcam,Technology,Central,2,6440.0,0.08,1731.21
ORD0078,2025-05-05,C050,Pooja Singh,Bookshelf,Furniture,North,8,51520.0,0.08,10798.23
ORD0079,2025-04-01,C229,Vikash Kapoor,Monitor,Technology,Central,7,123480.0,0.02,25079.61
ORD0080,2025-03-04,C119,Suresh Gupta,Smartphone,Technology,West,4,76800.0,0.2,14860.68
ORD0081,2025-08-15,C171,Karan Yadav,USB Hub,Technology,Central,6,5760.0,0.2,1612.85
ORD0082,2025-09-01,C110,Pooja Gupta,External Hard Drive,Technology,South,8,50960.0,0.02,10056.92
ORD0083,2025-05-03,C216,Kavya Malhotra,Notebook,Office Supplies,North,8,3400.0,0.15,931.72
ORD0084,2025-06-21,C183,Amit Joshi,Pen Set,Office Supplies,Central,4,1140.0,0.05,363.46
ORD0085,2025-07-16,C021,Rahul Verma,Headphones,Technology,South,3,8820.0,0.02,3018.1
ORD0086,2025-10-05,C017,Nikhil Sharma,Table Lamp,Furniture,North,7,11970.0,0.05,3262.17
ORD0087,2025-10-27,C053,Aditya Singh,Table Lamp,Furniture,North,7,10080.0,0.2,2874.79
ORD0088,2025-01-04,C220,Meena Malhotra,Desk Organizer,Office Supplies,East,7,4508.0,0.08,1495.09
ORD0089,2025-10-07,C193,Aditya Joshi,Bookshelf,Furniture,South,7,44100.0,0.1,10337.36
ORD0090,2025-09-06,C125,Rohit Mehta,Printer,Office Supplies,East,5,55200.0,0.08,10308.05
ORD0091,2025-08-28,C172,Simran Yadav,Bookshelf,Furniture,Central,3,16800.0,0.2,3922.21
ORD0092,2025-10-16,C137,Nikhil Mehta,Laptop,Technology,North,7,346500.0,0.1,56768.04
ORD0093,2025-08-25,C165,Rohit Yadav,Table Lamp,Furniture,East,3,4320.0,0.2,1048.61
ORD0094,2025-06-17,C098,Ayesha Kumar,Desk,Furniture,West,4,29440.0,0.08,6292.8
ORD0095,2025-02-11,C072,Simran Patel,Table Lamp,Furniture,Central,5,7200.0,0.2,1863.12
ORD0096,2025-02-05,C014,Riya Sharma,Office Chair,Furniture,North,4,20400.0,0.15,4801.98
ORD0097,2025-01-11,C194,Riya Joshi,Laptop,Technology,South,4,215600.0,0.02,35798.89
ORD0098,2025-04-22,C033,Aditya Verma,Webcam,Technology,East,2,6300.0,0.1,1564.93
ORD0099,2025-11-07,C197,Nikhil Joshi,Office Chair,Furniture,North,3,16200.0,0.1,3986.63
ORD0100,2025-10-24,C200,Meena Joshi,Keyboard,Technology,East,5,9000,0,2772.33
ORD0101,2025-04-12,C148,Anjali Shah,Bookshelf,Furniture,South,7,41650.0,0.15,8340.19
ORD0102,2025-10-17,C027,Arjun Verma,Pen Set,Office Supplies,East,2,480.0,0.2,159.04
ORD0103,2025-09-17,C137,Nikhil Mehta,Table Lamp,Furniture,North,6,10800,0,3070.82
ORD0104,2025-08-10,C218,Ayesha Malhotra,Table Lamp,Furniture,West,8,14400,0,4294.9
ORD0105,2025-09-25,C182,Priya Joshi,Headphones,Technology,East,7,20580.0,0.02,7346.33
ORD0106,2025-08-12,C158,Ayesha Shah,External Hard Drive,Technology,Central,8,47840.0,0.08,9902.02
ORD0107,2025-02-14,C069,Vikash Patel,Desk,Furniture,West,4,25600.0,0.2,5145.33
ORD0108,2025-01-15,C063,Amit Patel,Backpack,Accessories,East,7,14630.0,0.05,4589.29
ORD0109,2025-05-13,C047,Arjun Singh,Webcam,Technology,Central,4,13300.0,0.05,3283.04
ORD0110,2025-04-08,C180,Meena Yadav,Notebook,Office Supplies,West,1,450.0,0.1,121.3
ORD0111,2025-09-01,C126,Sneha Mehta,External Hard Drive,Technology,West,4,22100.0,0.15,4346.39
ORD0112,2025-04-24,C115,Manish Gupta,Laptop,Technology,South,2,104500.0,0.05,16599.68
ORD0113,2025-10-11,C079,Suresh Patel,Desk Organizer,Office Supplies,West,6,3864.0,0.08,1194.53
ORD0114,2025-12-26,C191,Karan Joshi,External Hard Drive,Technology,East,6,37050.0,0.05,7254.77
ORD0115,2025-04-09,C065,Rohit Patel,Printer,Office Supplies,Central,2,20400.0,0.15,3914.94
ORD0116,2025-09-05,C244,Neha Mishra,Keyboard,Technology,Central,4,7056.0,0.02,2254.18
ORD0117,2025-04-10,C195,Manish Joshi,USB Hub,Technology,East,5,6000,0,1692.95
ORD0118,2025-10-01,C046,Sneha Singh,Pen Set,Office Supplies,North,1,255.0,0.15,75.28
ORD0119,2025-03-06,C250,Pooja Mishra,Smartphone,Technology,West,5,102000.0,0.15,20863.98
ORD0120,2025-09-03,C027,Arjun Verma,Laptop,Technology,South,5,253000.0,0.08,40071.38
ORD0121,2025-09-02,C248,Anjali Mishra,Smartphone,Technology,North,5,96000.0,0.2,17206.35
ORD0122,2025-11-19,C103,Amit Gupta,Webcam,Technology,South,2,6300.0,0.1,1628.7
ORD0123,2025-05-08,C039,Suresh Verma,Desk Organizer,Office Supplies,West,5,3500,0,1032.85
ORD0124,2025-09-25,C156,Kavya Shah,Calculator,Office Supplies,West,4,2560.0,0.2,730.86
ORD0125,2025-10-19,C077,Nikhil Patel,Desk Organizer,Office Supplies,Central,7,4655.0,0.05,1473.57
ORD0126,2025-04-19,C246,Sneha Mishra,Monitor,Technology,North,4,61200.0,0.15,10847.81
ORD0127,2025-02-08,C041,Rahul Singh,Printer,Office Supplies,West,3,32400.0,0.1,6150.34
ORD0128,2025-01-17,C116,Kavya Gupta,Calculator,Office Supplies,East,8,6080.0,0.05,1789.07
ORD0129,2025-04-30,C180,Meena Yadav,Backpack,Accessories,Central,2,3740.0,0.15,1232.46
ORD0130,2025-10-06,C170,Pooja Yadav,Mouse,Technology,South,7,6300,0,2007.54
ORD0131,2025-01-31,C233,Aditya Kapoor,Notebook,Office Supplies,East,3,1500,0,425.95
ORD0132,2025-03-05,C153,Aditya Shah,Desk Organizer,Office Supplies,East,5,3220.0,0.08,984.49
ORD0133,2025-10-04,C180,Meena Yadav,Bookshelf,Furniture,North,5,31500.0,0.1,6992.06
ORD0134,2025-06-15,C154,Riya Shah,Smartphone,Technology,North,7,142800.0,0.15,29018.3
ORD0135,2025-12-11,C024,Neha Verma,Printer,Office Supplies,Central,1,9600.0,0.2,2003.57
ORD0136,2025-11-30,C011,Karan Sharma,Keyboard,Technology,East,8,12960.0,0.1,4155.63
ORD0137,2025-09-09,C047,Arjun Singh,Desk Organizer,Office Supplies,West,7,4165.0,0.15,1366.83
ORD0138,2025-12-10,C090,Pooja Kumar,Table Lamp,Furniture,South,6,10260.0,0.05,2622.71
ORD0139,2025-12-06,C085,Rohit Kumar,Table Lamp,Furniture,Central,8,13680.0,0.05,4034.92
ORD0140,2025-05-10,C010,Pooja Sharma,Backpack,Accessories,West,2,4180.0,0.05,1272.91
ORD0141,2025-10-05,C222,Priya Kapoor,USB Hub,Technology,North,1,1020.0,0.15,282.25
ORD0142,2025-09-13,C049,Vikash Singh,USB Hub,Technology,North,6,6480.0,0.1,1879.64
ORD0143,2025-08-13,C053,Aditya Singh,Notebook,Office Supplies,West,3,1425.0,0.05,449.3
ORD0144,2025-03-23,C032,Simran Verma,Laptop,Technology,North,4,187000.0,0.15,28159.92
ORD0145,2025-02-28,C142,Priya Shah,Table Lamp,Furniture,North,2,3528.0,0.02,968.83
ORD0146,2025-05-30,C166,Sneha Yadav,Headphones,Technology,East,8,20400.0,0.15,6511.36
ORD0147,2025-08-22,C107,Arjun Gupta,Webcam,Technology,West,8,27440.0,0.02,7079.06
ORD0148,2025-02-05,C049,Vikash Singh,Calculator,Office Supplies,West,3,1920.0,0.2,535.65
ORD0149,2025-01-02,C088,Anjali Kumar,USB Hub,Technology,East,5,4800.0,0.2,1251.69
ORD0150,2025-03-18,C215,Manish Malhotra,Desk Organizer,Office Supplies,West,8,4480.0,0.2,1304.95
ORD0151,2025-06-14,C089,Vikash Kumar,Desk,Furniture,South,7,51520.0,0.08,12085.12
ORD0152,2025-07-30,C147,Arjun Shah,Bookshelf,Furniture,West,4,22400.0,0.2,4332.69
ORD0153,2025-11-30,C181,Rahul Joshi,Bookshelf,Furniture,West,7,41650.0,0.15,9961.63
ORD0154,2025-10-30,C247,Arjun Mishra,Smartphone,Technology,North,3,64800.0,0.1,12721.79
ORD0155,2025-08-22,C224,Neha Kapoor,Backpack,Accessories,South,2,3960.0,0.1,1116.44
ORD0156,2025-05-16,C105,Rohit Gupta,Headphones,Technology,West,2,5520.0,0.08,1748.34
ORD0157,2025-12-12,C167,Arjun Yadav,Tablet,Technology,West,6,134400.0,0.2,21802.36
ORD0158,2025-10-05,C245,Rohit Mishra,Desk,Furniture,North,8,51200.0,0.2,9730.71
ORD0159,2025-02-16,C061,Rahul Patel,Pen Set,Office Supplies,North,4,1020.0,0.15,320.77
ORD0160,2025-12-22,C195,Manish Joshi,Monitor,Technology,North,8,141120.0,0.02,26401.61
ORD0161,2025-07-03,C012,Simran Sharma,Desk,Furniture,South,1,7600.0,0.05,1651.45
ORD0162,2025-12-16,C063,Amit Patel,USB Hub,Technology,South,7,7560.0,0.1,2258.42
ORD0163,2025-12-16,C045,Rohit Singh,Tablet,Technology,Central,7,176400.0,0.1,26256.28
ORD0164,2025-05-11,C037,Nikhil Verma,Printer,Office Supplies,North,8,81600.0,0.15,16120.63
ORD0165,2025-10-07,C231,Karan Kapoor,Backpack,Accessories,West,5,9350.0,0.15,2652.22
ORD0166,2025-08-06,C242,Priya Mishra,Office Chair,Furniture,West,5,25500.0,0.15,5900.65
ORD0167,2025-09-05,C217,Nikhil Malhotra,Pen Set,Office Supplies,West,4,1104.0,0.08,334.83
ORD0168,2025-06-01,C147,Arjun Shah,Office Chair,Furniture,West,5,25500.0,0.15,5152.07
ORD0169,2025-09-12,C071,Karan Patel,Laptop,Technology,East,1,49500.0,0.1,8354.29
ORD0170,2025-11-22,C199,Suresh Joshi,Printer,Office Supplies,East,6,70560.0,0.02,13881.32
ORD0171,2025-11-27,C174,Riya Yadav,Headphones,Technology,West,2,5100.0,0.15,1477.62
ORD0172,2025-03-09,C009,Vikash Sharma,Desk Organizer,Office Supplies,East,6,3570.0,0.15,985.94
ORD0173,2025-03-09,C084,Neha Kumar,Table Lamp,Furniture,East,3,5292.0,0.02,1531.26
ORD0174,2025-03-26,C136,Kavya Mehta,USB Hub,Technology,West,5,4800.0,0.2,1244.45
ORD0175,2025-02-28,C248,Anjali Mishra,Pen Set,Office Supplies,North,6,1440.0,0.2,446.96
ORD0176,2025-10-13,C037,Nikhil Verma,Printer,Office Supplies,West,7,67200.0,0.2,12749.17
ORD0177,2025-07-08,C004,Neha Sharma,Notebook,Office Supplies,East,2,920.0,0.08,278.3
ORD0178,2025-12-12,C150,Pooja Shah,Bookshelf,Furniture,North,6,42000,0,9191.15
ORD0179,2025-04-24,C159,Suresh Shah,External Hard Drive,Technology,West,6,35100.0,0.1,7009.27
ORD0180,2025-03-13,C233,Aditya Kapoor,Pen Set,Office Supplies,North,7,2100,0,649.08
ORD0181,2025-05-01,C078,Ayesha Patel,Webcam,Technology,South,2,7000,0,1911.53
ORD0182,2025-12-23,C100,Meena Kumar,Backpack,Accessories,West,6,11220.0,0.15,3712.19
ORD0183,2025-02-20,C151,Karan Shah,Headphones,Technology,Central,7,17850.0,0.15,6061.24
ORD0184,2025-07-09,C105,Rohit Gupta,Notebook,Office Supplies,West,1,425.0,0.15,115.09
ORD0185,2025-12-18,C244,Neha Mishra,Printer,Office Supplies,East,6,72000,0,14681.6
ORD0186,2025-03-04,C016,Kavya Sharma,Bookshelf,Furniture,West,5,34300.0,0.02,8374.73
ORD0187,2025-06-20,C024,Neha Verma,Mouse,Technology,South,1,900,0,287.69
ORD0188,2025-10-11,C202,Priya Malhotra,Desk Organizer,Office Supplies,South,4,2800,0,838.77
ORD0189,2025-03-17,C209,Vikash Malhotra,Printer,Office Supplies,Central,6,57600.0,0.2,11942.75
ORD0190,2025-10-04,C001,Rahul Sharma,Notebook,Office Supplies,South,3,1470.0,0.02,420.8
ORD0191,2025-07-03,C029,Vikash Verma,Laptop,Technology,South,3,165000,0,28252.73
ORD0192,2025-05-16,C151,Karan Shah,Desk,Furniture,West,1,7840.0,0.02,1626.09
ORD0193,2025-08-18,C135,Manish Mehta,Monitor,Technology,Central,2,33120.0,0.08,6611.38
ORD0194,2025-04-24,C152,Simran Shah,Monitor,Technology,North,8,129600.0,0.1,26495.46
ORD0195,2025-11-26,C187,Arjun Joshi,USB Hub,Technology,North,5,5520.0,0.08,1704.93
ORD0196,2025-02-25,C123,Amit Mehta,Bookshelf,Furniture,West,7,41650.0,0.15,9082.56
ORD0197,2025-03-17,C019,Suresh Sharma,Tablet,Technology,East,6,151200.0,0.1,21748.75
ORD0198,2025-11-02,C160,Meena Shah,Desk Organizer,Office Supplies,West,6,3864.0,0.08,1194.45
ORD0199,2025-12-26,C130,Pooja Mehta,Calculator,Office Supplies,Central,7,5600,0,1642.04
ORD0200,2025-04-27,C185,Rohit Joshi,Mouse,Technology,West,7,5796.0,0.08,1861.04
ORD0201,2025-08-07,C103,Amit Gupta,Table Lamp,Furniture,East,2,3420.0,0.05,907.5
ORD0202,2025-02-16,C096,Kavya Kumar,Headphones,Technology,North,8,24000,0,8424.67
ORD0203,2025-03-08,C111,Karan Gupta,Monitor,Technology,Central,6,86400.0,0.2,15939.41
ORD0204,2025-03-04,C245,Rohit Mishra,External Hard Drive,Technology,West,6,33150.0,0.15,6226.19
ORD0205,2025-06-09,C223,Amit Kapoor,Smartphone,Technology,Central,5,108000.0,0.1,21281.58
ORD0206,2025-09-04,C130,Pooja Mehta,Mouse,Technology,North,3,2295.0,0.15,691.54
ORD0207,2025-05-23,C090,Pooja Kumar,External Hard Drive,Technology,West,6,39000,0,7892.48
ORD0208,2025-12-03,C217,Nikhil Malhotra,External Hard Drive,Technology,East,1,5850.0,0.1,1206.03
ORD0209,2025-06-08,C008,Anjali Sharma,Keyboard,Technology,East,5,7650.0,0.15,2639.84
ORD0210,2025-12-03,C002,Priya Sharma,Keyboard,Technology,South,3,4860.0,0.1,1546.43
ORD0211,2025-09-29,C190,Pooja Joshi,Laptop,Technology,West,2,93500.0,0.15,13804.58
ORD0212,2025-06-09,C117,Nikhil Gupta,Desk,Furniture,Central,3,22800.0,0.05,5253.96
ORD0213,2025-03-22,C153,Aditya Shah,Tablet,Technology,North,1,27440.0,0.02,4570.69
ORD0214,2025-12-05,C173,Aditya Yadav,Tablet,Technology,Central,5,128800.0,0.08,19976.45
ORD0215,2025-09-20,C114,Riya Gupta,Table Lamp,Furniture,West,5,8820.0,0.02,2283.03
ORD0216,2025-12-08,C029,Vikash Verma,Pen Set,Office Supplies,South,8,2160.0,0.1,675.48
ORD0217,2025-04-15,C102,Priya Gupta,Calculator,Office Supplies,South,1,800,0,242.06
ORD0218,2025-06-17,C197,Nikhil Joshi,Headphones,Technology,West,5,14250.0,0.05,4383.49
ORD0219,2025-07-14,C192,Simran Joshi,Table Lamp,Furniture,South,3,5292.0,0.02,1470.32
ORD0220,2025-07-23,C129,Vikash Mehta,External Hard Drive,Technology,North,6,39000,0,8251.48
ORD0221,2025-06-10,C112,Simran Gupta,Laptop,Technology,Central,8,440000,0,72872.75
ORD0222,2025-07-27,C104,Neha Gupta,Table Lamp,Furniture,East,5,9000,0,2308.34
ORD0223,2025-12-20,C044,Neha Singh,Calculator,Office Supplies,North,8,5120.0,0.2,1634.33
ORD0224,2025-10-29,C112,Simran Gupta,Monitor,Technology,North,4,66240.0,0.08,12377.01
ORD0225,2025-06-20,C102,Priya Gupta,Pen Set,Office Supplies,North,6,1764.0,0.02,611.8
ORD0226,2025-06-28,C131,Karan Mehta,Monitor,Technology,South,4,57600.0,0.2,10166.46
ORD0227,2025-04-12,C061,Rahul Patel,Monitor,Technology,South,3,51300.0,0.05,9295.23
ORD0228,2025-11-18,C195,Manish Joshi,Tablet,Technology,Central,3,67200.0,0.2,10112.29
ORD0229,2025-10-17,C195,Manish Joshi,Desk Organizer,Office Supplies,Central,8,4760.0,0.15,1470.27
ORD0230,2025-02-04,C083,Amit Kumar,Desk,Furniture,East,3,22080.0,0.08,4833.15
ORD0231,2025-09-17,C204,Neha Malhotra,Notebook,Office Supplies,West,1,475.0,0.05,130.41
ORD0232,2025-05-27,C116,Kavya Gupta,Smartphone,Technology,North,1,22800.0,0.05,4348.88
ORD0233,2025-10-25,C158,Ayesha Shah,Calculator,Office Supplies,North,7,5152.0,0.08,1590.21
ORD0234,2025-11-06,C116,Kavya Gupta,Desk Organizer,Office Supplies,South,4,2660.0,0.05,821.57
ORD0235,2025-06-25,C246,Sneha Mishra,Smartphone,Technology,North,8,192000,0,43087.27
ORD0236,2025-12-29,C130,Pooja Mehta,Keyboard,Technology,West,1,1764.0,0.02,579.02
ORD0237,2025-07-10,C135,Manish Mehta,USB Hub,Technology,West,3,3420.0,0.05,1054.59
ORD0238,2025-11-20,C105,Rohit Gupta,Desk,Furniture,North,1,6400.0,0.2,1392.42
ORD0239,2025-05-10,C085,Rohit Kumar,Monitor,Technology,Central,7,119700.0,0.05,23845.79
ORD0240,2025-10-26,C224,Neha Kapoor,Headphones,Technology,East,6,18000,0,6157.07
ORD0241,2025-12-29,C080,Meena Patel,Bookshelf,Furniture,East,3,18900.0,0.1,4536.39
ORD0242,2025-03-07,C144,Neha Shah,Bookshelf,Furniture,Central,6,33600.0,0.2,7461.3
ORD0243,2025-07-05,C024,Neha Verma,Table Lamp,Furniture,South,6,10800,0,2908.26
ORD0244,2025-03-12,C088,Anjali Kumar,Webcam,Technology,East,4,13720.0,0.02,3311.25
ORD0245,2025-06-22,C217,Nikhil Malhotra,Monitor,Technology,Central,1,15300.0,0.15,3054.53
ORD0246,2025-03-25,C034,Riya Verma,Calculator,Office Supplies,Central,7,5488.0,0.02,1616.89
ORD0247,2025-07-30,C208,Anjali Malhotra,Keyboard,Technology,South,8,14400,0,4695.78
ORD0248,2025-08-18,C249,Vikash Mishra,Backpack,Accessories,South,5,8800.0,0.2,2476.04
ORD0249,2025-12-14,C080,Meena Patel,Webcam,Technology,West,4,13300.0,0.05,3632.55
ORD0250,2025-09-28,C119,Suresh Gupta,Pen Set,Office Supplies,South,7,1890.0,0.1,603.39
ORD0251,2025-05-09,C210,Pooja Malhotra,Mouse,Technology,West,3,2160.0,0.2,610.51
ORD0252,2025-09-22,C224,Neha Kapoor,Office Chair,Furniture,East,2,10200.0,0.15,2432.32
ORD0253,2025-09-20,C022,Priya Verma,Keyboard,Technology,West,5,8280.0,0.08,2530.73
ORD0254,2025-01-14,C024,Neha Verma,Printer,Office Supplies,West,8,91200.0,0.05,18477.67
ORD0255,2025-02-11,C129,Vikash Mehta,Office Chair,Furniture,North,4,22080.0,0.08,4927.92
ORD0256,2025-03-16,C082,Priya Kumar,Monitor,Technology,East,6,86400.0,0.2,14532.33
ORD0257,2025-12-28,C235,Manish Kapoor,Webcam,Technology,Central,3,8400.0,0.2,2011.66
ORD0258,2025-04-21,C002,Priya Sharma,Tablet,Technology,Central,1,26600.0,0.05,4459.92
ORD0259,2025-05-28,C241,Rahul Mishra,Calculator,Office Supplies,North,7,5600,0,1676.54
ORD0260,2025-11-15,C013,Aditya Sharma,Printer,Office Supplies,North,7,71400.0,0.15,14098.67
ORD0261,2025-09-21,C215,Manish Malhotra,Webcam,Technology,South,1,2975.0,0.15,742.06
ORD0262,2025-06-30,C075,Manish Patel,Table Lamp,Furniture,West,1,1620.0,0.1,416.75
ORD0263,2025-09-27,C048,Anjali Singh,Tablet,Technology,Central,6,168000,0,27190.43
ORD0264,2025-08-29,C142,Priya Shah,Laptop,Technology,West,7,308000.0,0.2,42648.83
